url,language,speaker_id,domain,gender,location,duration,age
https://youtu.be/KVg-_rBxCD0?si=2twy3w1z80VD8Coq,Maithili,Null,General,Female,Madhesh ,25 Min 25 Sec,35
https://youtu.be/SX64M3jGmow?si=Qll50k5CfVfRNl8-,Maithili,Null,General,Female/Male,Janakpur,32 Min 9 sec,35
https://youtu.be/5Kvn9ZyJniU?si=nzENbpn4rYxB34h7,Maithili,Null,General,Female/Male,Madhesh ,28 Min 27 sec,35
https://youtu.be/Hhzs63WHCD4?si=CCuaX5GRAeLCp0W6,Maithili,Null,Health,Female/Male,Janakpur,36 Min 11 Sec,35
https://youtu.be/Nm70sKo2WKA?si=ws3bgKQovJ13mfSe,Maithili,Null,General,Female/Male,Janakpur,34 Min 37 Sec,35
https://youtu.be/Eptvd3T9Xiw?si=dLFj8LPzmi0TPv8l,Maithili,Null,Education,Female/Male,Dhanusha,46 Min 42 Sec,35
https://youtu.be/XajcBZpigxI?si=u89R-m_Kkz7GbJVQ,Maithili,Null,Health,Female/Male,Madhesh ,31 Min 20 Sec,35
https://youtu.be/YfO6htFWvHI?si=b0M2PMR1GZaAZBhj,Maithili,Null,Health,Female/Male,Janakpur,37 Min 54 Sec,35
https://youtu.be/95k13KI_PSo?si=LoI9osSvHvLiuEc7,Maithili,Null,General,Female/Male,Janakpur,27 Min 41 Sec,35
https://youtu.be/X6aam1mWV88?si=NoQa1kot-ViluaqA,Maithili,Null,General,Female/Male,Janakpur,57 Min 43 Sec,35
https://youtu.be/RKKXkZ3wfEk?si=yxS2s_69cucC7lM9,Maithili,Null,Health,Female/Male,Janakpur,24 Min 4 sec,35
https://www.youtube.com/watch?v=v3L5ndtoJ2M,Maithili,Null,General,Female/Male,Janakpur,25 Min 50 sec,35
https://youtu.be/6Io5wTBnlJk?si=LWwOWZJzt-jYQcey,Maithili,Null,General,Female/Male,Janakpur,12 Min 22 sec,35
https://youtu.be/2VXGFl8oKQY?si=E4UeSOHswOG2yGa6,Maithili,Null,General,Female,Janakpur,14 Min 21 Sec,30
https://youtu.be/_D_HXmoS9O4?si=rdtUhL_AVqiocNlH,Maithili,Null,General,Female,Janakpur,9 Min 51 Sec,30
https://youtu.be/W-O_C8EMyEo?si=URFgcrwvDRISe41Y,Maithili,Null,General,Female,Janakpur,13 Min,30
https://youtu.be/N9DqEf16x3g?si=tyEyrSgL6qMx-_XF,Maithili,Null,General,Female,Janakpur,15 Min 53 Sec,30
https://youtu.be/6WkWvONMaMU?si=VDW9BQr-a7gh0fpy,Maithili,Null,General,Female,Janakpur,14 Min 49 Min,30
https://youtu.be/m8eDm_aTcPA?si=oWXLV2TjSB-sqe7j,Maithili,Null,General,Female,Janakpur,17 Min 2 sec,30
https://youtu.be/8riFCMbSPic?si=dOM5VAdQ9YCDwOpP,Maithili,Null,General,Female,Janakpur,15 Min 20 Sec,30
https://youtu.be/UWLtJrOLKeg?si=XNcD7u3ihmyLAwVS,Maithili,Null,General,Female,Janakpur,13 Min 52 Sec,30
https://youtu.be/b8X1VQzWf94?si=d1jWq4JI-sjXbL5W,Maithili,Null,General,Female,Janakpur,15 Min 23 Sec,30
https://youtu.be/_VuKPGCU0MA?si=5YiJNFBJf_RrqVS-,Maithili,Null,General,Null,Null,15 Min 22 Sec,Null
https://youtu.be/Jf7OdtJaFEQ?si=rFNhRsNxlVkiSoPc,Maithili,Null,General,Null,Null,15 Min 25 Sec,Null
https://youtu.be/RqMmBROAlvQ?si=u34pNx32rRFoZr9m,Maithili,Null,General,Null,Null,13 Min,Null
https://youtu.be/sa_L6nvAw0k?si=BwXlESHBkX_yy2Ho,Maithili,Null,General,Null,Null,13 Min 14 Sec,Null
https://youtu.be/UOndnGi8-_g?si=LdfhDoXKSxr7IHyx,Maithili,Null,General,Null,Null,13 Min 3 Sec,Null
https://youtu.be/PLVWQVVLL58?si=OazZko0kePztGWSt,Maithili,Null,General,Null,Null,17 Min 25 Sec,Null
https://youtu.be/HWfqoM6itY0?si=e8bTEAX7wXi5u2TV,Maithili,Null,General,Null,Null,12 Min 6 Sec,Null
https://youtu.be/ZPtZVc3SCW4?si=KgJCNjvip9GL86Uf,Maithili,Null,General,Null,Null,17 Min 50 Sec,Null
https://youtu.be/PeBwbV3xtMc?si=mgraCux4b6rA1p5r,Maithili,Null,General,Null,Null,19 Min 26 Sec,Null
